ID Chamado,TÍTULO,CATEGORIA COMPLETA,,,
5728,Gentileza verificar mal funcionamento inadequado de ar condicionado da,Climatização > Ar condicionado,,,
5750,Estamos sem água devido á entrada de ar na bomba d'água.,Hidrossanitária > Hidráulica,,,
5754,Solicito manutenção sobre um vazamento no rodapé proximo a pia do Sani,Hidrossanitária > Hidráulica,,,
5808,Infiltração no bloco adm,"Estrutura Predial > Telhados, calhas, rufos, etc.",,,
5810,"Solicito confecção e cópia de chaves das salas 04, 11 e 12 do pavilhão",Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
5811,Instalação de Freezer,Elétrica > Instalações elétricas,,,
5812,Solicito verificação do Ar-condicionado da sala de aula 04 do pavilhão,Climatização > Ar condicionado,,,
5813,Solicito verificação do Ar-Condicionado da Sala dos Professores - Meza,Climatização > Ar condicionado,,,
5826,"Prezados,  Recebemos do Centro de Formação, em funcionamento na CEPLAC",Climatização > Ar condicionado,,,
5838,Gentileza verificar ar condicionado do gabinete. Em torno de 3 vezes j,Climatização > Ar condicionado,,,
2019050169,Solicito que seja feito o cravejamento da cumeeira da área de circulaç,"Estrutura Predial > Telhados, calhas, rufos, etc.",,,
5868,Limpeza do ar condicionado da sala da Prof. Joana.,Climatização > Ar condicionado,,,
5922,A lâmpada da Salinha do Cuni está queimada.,Elétrica > Iluminação,,,
5924,"Referente ao chamado 5 922, sobre a lâmpada da salinha do Cuni que est",Elétrica > Iluminação,,,
5932,Solicitação de transformador,Elétrica > Instalações elétricas,,,
5956,Solicito vistoria e manutenção para um vazamento de agua no fundo do v,Manutenção Preventiva > Esgoto,,,
5959,"Um ar condicionado do estúdio de gravação não está gelando, apenas ven",Climatização > Ar condicionado,,,
5961,Limpeza Ar Condicionado,Climatização > Ar condicionado,,,
5998,Ar condicionado parou de funcionar.,Climatização > Ar condicionado,,,
6006,INSTALAÇÃO DE QUADRO BRANCO NA BIBLIOTECA,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
6007,Problema no banheiro masculino,Manutenção Preventiva > Esgoto,,,
6009,INSTALAÇÃO DE DISPENSER´S NOS BANHEIROS,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
6036,caixa de energia,Elétrica > Instalações elétricas,,,
6040,Solicito a substituição de uma lâmpada fluorescente comum na sala de a,Elétrica > Iluminação,,,
6044,"Ar condicionado da sala 14 não está gelando, a condensadora não funcio",Climatização > Ar condicionado,,,
6045,Solicito a instalação de um ar condicionado na sala de Almoxarifado.,Climatização > Ar condicionado,,,
6053,Manutenção dos quadros elétricos dos galpões,Manutenção Preventiva > Quadros Elétricos,,,
6060,Solicito a fixação de um quadro branco na sala do Reitor (para maiores,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
6064,Solicito instalação de ar-condicionado na guarita de entrada da UFSB e,Climatização > Ar condicionado,,,
6072,limpeza,Climatização > Ar condicionado,,,
6086,Fechadura,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,
6087,Desocupar anexo ao lado do almoxarifado e colocar fechadura na porta.,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,
6090,Visor do ar condicionado quebrado.,Climatização > Ar condicionado,,,
6091,Solicito que seja feita uma solda na porta lateral da subestação. A do,Elétrica > Subestação,,,
6188,Solicitação de instalação de portão.,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
6109,Solicito a substituição de lâmpadas queimadas no almoxarifado da Reito,Elétrica > Iluminação,,,
6116,Substituição de Lampada,Elétrica > Iluminação,,,
6121,Instalação de medidor no quadro de ar condicionado QDAC-A. O serviço s,Climatização > Ar condicionado,,,
6133,Realizar teste de descarga dos Nobreaks.,Manutenção Preventiva > Nobreak,,,
6147,Poda de árvore,Área Externa e Ambiental > Poda de Árvore / Roçagem,,,
6165,"Solicito troca da porta interna do Estúdio da ARI, localizado entre o",Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
6167,Serviços de Pintura CSC,Projetos e Reformas > Reforma,,,
6179,Limpeza dos filtros de ar condicionado,Climatização > Ar condicionado,,,
6191,"Prezados, Solicito instalação de quadro branco de tamanho 3 x 3 , na p",Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
6193,Ar condicionado com ruido na DIRAD.,Climatização > Ar condicionado,,,
6203,Banheiro femenino,Manutenção Preventiva > Esgoto,,,
6204,Porta do estúdio,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,
6211,Rede elétrica que liga o computador do servidor Vinícius não funciona.,Elétrica > Instalações elétricas,,,
6215,"Substituir bomba de sucção de 4cv, responsável por abastecer o reserva",Elétrica > Instalações elétricas,,,
6220,Retirar 4 refletores defeituosos do hall da Reitoria.,Elétrica > Iluminação,,,
6228,Iluminação da Parte externa da Reitoria e Pavilhão de aulas,Elétrica > Iluminação,,,
6241,"Foi solicitado por Aline, limpeza dos filtros do bebedouros de água do",Hidrossanitária > Hidráulica,,,
6242,Desinstalação e Instalação de ar condicionado,Climatização > Ar condicionado,,,
6248,Porta de entrada da Biblioteca com defeito e lampada queimada.,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,
6251,"A porta principal da biblioteca necessita reparo, uma vez que, não est","Estrutura Predial > Esquadrias, porta, portão e janelas",,,
6253,Solicito a limpeza das calhas na parte frontal do prédio da reitoria.,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
6254,Solicito que seja proposta uma solução para proteger as portas externa,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,
6280,A biblioteca CJA precisa de um transformador para ligar a impressora.,Elétrica > Instalações elétricas,,,
6283,Retirada de vaso sanitário da sala dos terceirizados.,Projetos e Reformas > Reforma,,,
6291,Solicito inspeção (com fotos das principais situações) dos seguintes i,Manutenção Preventiva > Hidráulica,,,
6294,Pintura pilares espaço de leitura,Estrutura Predial > Pintura,,,
6295,Eletrodutos Cuni Cabrália,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
